Number,Korean,Translation,Translation2,WordType,ExampleSentence,ExampleSentenceTranslation
1001,걱정,Worry,,1,걱정하지 마세요. 모든 것이 잘 될 거예요.,Don't worry. Everything will be fine.
1002,결혼하다,Get married,,8,언니가 내년 봄에 결혼해요.,My older sister is getting married next spring.
1003,만약,If,,5,만약 비가 오면 집에서 쉴 거예요.,If it rains I will rest at home.
1004,바르다,Be straight,be honest,9,그 사람은 성격이 바르고 정직해요.,That person has an upright and honest personality.
1005,세월,"The times, things",,1,세월이 정말 빨리 흘러갑니다.,Time really flies by quickly.
1006,숨,A breath,,1,운동을 하고 나서 숨이 차요.,I'm out of breath after exercising.
1007,행사,"An event, a function",,1,이번 주말에 학교에서 큰 행사가 있어요.,There is a big event at school this weekend.
1008,깨닫다,to realize sth,,8,실수를 하고 나서야 중요한 것을 깨달았어요.,I only realized what was important after making a mistake.
1009,누나,Older sister,,1,누나가 오늘 생일이에요.,It's my older sister's birthday today.
1010,신,God,,1,그는 신의 존재를 믿고 있습니다.,He believes in the existence of God.
1011,왕,King,,1,조선 시대에는 왕이 나라를 다스렸습니다.,In the Joseon era the king ruled the country.
1012,점점,"More and more, by degrees",,5,날씨가 점점 따뜻해지고 있어요.,The weather is getting warmer and warmer.
1013,질문,"A question, a query",,1,질문이 있으면 언제든지 물어보세요.,If you have a question please ask anytime.
1014,특별,"Be special, extraordinary",,1,오늘은 특별한 날이에요.,Today is a special day.
1015,판단,"A judgment, a conclusion",,1,성급한 판단은 위험할 수 있습니다.,Hasty judgment can be dangerous.
1016,해결하다,"To fix a problem, solve a question",,8,이 문제를 빨리 해결해야 합니다.,We need to solve this problem quickly.
1017,거리,Distance,,1,서울에서 부산까지 거리가 꽤 멀어요.,The distance from Seoul to Busan is quite far.
1018,계속하다,To continue,,8,포기하지 말고 계속하세요.,Don't give up and continue.
1019,그치다,Stop or cease or halt,,8,비가 그치면 산책하러 가자.,Let's go for a walk when the rain stops.
1020,근처,Nearby or the vicinity,,1,학교 근처에 좋은 식당이 있어요.,There is a good restaurant near the school.
1021,너무나,Extremely,,5,그 소식을 듣고 너무나 기뻤어요.,I was extremely happy to hear that news.
1022,높이다,"Raise, elevate",,8,교육의 질을 높이기 위해 노력하고 있습니다.,We are working to raise the quality of education.
1023,부정,"injustice,wrongfulness",,1,시험에서 부정 행위를 하면 안 됩니다.,You must not commit injustice during exams.
1024,사정,Circumstances,,1,개인적인 사정으로 참석하지 못했습니다.,I could not attend due to personal circumstances.
1025,도대체,"In the world, on earth",,5,도대체 무슨 일이 있었던 거예요?,What on earth happened?
1026,막,"Carelessly, at random",,5,물건을 막 던지면 안 돼요.,You shouldn't throw things around carelessly.
1027,부모님,Parents,,1,부모님께 자주 전화 드려요.,I call my parents often.
1028,수출,Exporting sth,,1,한국의 반도체 수출이 증가하고 있습니다.,Korea's semiconductor exports are increasing.
1029,계시다,(someone esteemed) to stay or be located,,8,할머니는 지금 집에 계세요.,Grandmother is at home right now.
1030,그,That,,4,그 사람을 어디서 만났어요?,Where did you meet that person?
1031,자르다,"cut,chop",,8,종이를 가위로 자르세요.,Cut the paper with scissors.
1032,데리다,Be accompanied by,,8,아이를 데리고 공원에 갔어요.,I went to the park accompanied by the child.
1033,마리,Number of animals,,1,우리 집에 고양이 두 마리가 있어요.,We have two cats at our house.
1034,무척,Extremely,,5,오늘 날씨가 무척 좋네요.,The weather is extremely nice today.
1035,비용,Expense,,1,여행 비용이 생각보다 많이 들었어요.,The travel expenses were more than I expected.
1036,비행기,An airplane,,1,비행기를 타고 제주도에 갈 거예요.,I'm going to Jeju Island by airplane.
1037,옳다,"To be right, correct",,9,네 말이 옳다고 생각해요.,I think what you said is right.
1038,원래,"originally,primarily",,5,이 건물은 원래 학교였습니다.,This building was originally a school.
1039,처리,"handling,treatment",,1,서류 처리가 아직 끝나지 않았어요.,The document handling is not finished yet.
1040,최초,"In the very first, in the beginning",,1,이것은 한국 최초의 인공위성입니다.,This is Korea's first artificial satellite.
1041,꼴,Shape or form or appearance,,1,네 꼴이 지금 뭐니?,What kind of state are you in right now?
1042,놀이,"Play, game",,1,아이들이 놀이터에서 놀이를 하고 있어요.,The children are playing games at the playground.
1043,뿌리,A root,,1,이 나무의 뿌리가 아주 깊어요.,The roots of this tree are very deep.
1044,수입,Importing sth,,1,석유 수입 가격이 올랐습니다.,The price of oil imports has risen.
1045,초,"Initial, in the beginning, first",,1,회의 초부터 분위기가 좋았어요.,The atmosphere was good from the beginning of the meeting.
1046,그리하여,And then or and so or and now,,5,그리하여 두 나라는 평화 협정을 맺었습니다.,And so the two countries signed a peace agreement.
1047,낮,Daytime,,1,낮에는 일하고 밤에는 공부해요.,I work during the daytime and study at night.
1048,일찍,Early,,5,내일 일찍 일어나야 해요.,I have to wake up early tomorrow.
1049,직원,Staff,,1,이 회사의 직원은 모두 친절합니다.,All the staff at this company are friendly.
1050,찍다,Stamp with a dojang,,8,여권에 도장을 찍었습니다.,I stamped the passport with a seal.
1051,가볍다,Light,,9,이 가방은 정말 가벼워요.,This bag is really light.
1052,내부,The inside,,1,건물 내부가 아주 넓어요.,The inside of the building is very spacious.
1053,다소,"1) Large and small, 2) more or less",,5,오늘은 다소 추운 편이에요.,It is more or less cold today.
1054,상대,"counterpart,companion,rival",,1,경기에서 상대가 아주 강했습니다.,The rival was very strong in the match.
1055,오전,Morning,,1,오전에 회의가 있어요.,There is a meeting in the morning.
1056,피부,Skin,,1,겨울에는 피부가 건조해져요.,In winter the skin gets dry.
1057,가게,Store,,1,집 앞에 작은 가게가 하나 있어요.,There is a small store in front of my house.
1058,가득,Full,,5,방에 꽃향기가 가득해요.,The room is full of the scent of flowers.
1059,그저,1) still or all the time 2) easily or with no effort,,5,저는 그저 행복하게 살고 싶어요.,I just want to live happily.
1060,도,Degrees (temperature),,1,오늘 기온이 영하 5도까지 내려갔어요.,The temperature dropped to minus 5 degrees today.
1061,벽,A wall,,1,벽에 그림을 걸었어요.,I hung a painting on the wall.
1062,장군,A general,,1,이순신 장군은 한국의 영웅입니다.,General Yi Sun-sin is a hero of Korea.
1063,무역,Trade,,1,한국과 미국 간의 무역이 활발합니다.,Trade between Korea and the United States is active.
1064,부담,"A burden,responsibility",,1,경제적 부담이 너무 커요.,The financial burden is too heavy.
1065,약속,A promise,,1,친구와 저녁 약속이 있어요.,I have a dinner appointment with a friend.
1066,인사,Greetings,,1,한국에서는 인사할 때 고개를 숙입니다.,In Korea people bow their heads when greeting.
1067,줄,"Line, row, chord",,1,사람들이 긴 줄을 서서 기다리고 있었어요.,People were waiting in a long line.
1068,쳐다보다,To look up at,,8,그녀는 하늘을 쳐다보며 한숨을 쉬었어요.,She looked up at the sky and sighed.
1069,충분히,"Enough, sufficiently",,5,시험 준비를 충분히 했어요.,I prepared enough for the exam.
1070,신체,The body,,1,규칙적인 운동은 신체 건강에 좋습니다.,Regular exercise is good for body health.
1071,에너지,Energy,,1,태양 에너지를 이용하는 집이 늘고 있어요.,The number of houses using solar energy is increasing.
1072,위원,A member of a committee,,1,그는 교육 위원으로 선출되었습니다.,He was elected as a member of the education committee.
1073,정리하다,To adjust,,8,방을 깨끗하게 정리했어요.,I tidied up the room neatly.
1074,집안,Inside the house,,1,집안 일을 도와주세요.,Please help with the housework.
1075,배경,Background,,1,이 영화의 배경은 1950년대 서울입니다.,The background of this movie is 1950s Seoul.
1076,죽이다,To kill,,8,살충제로 벌레를 죽였어요.,I killed the bugs with insecticide.
1077,단순하다,Be simple-minded,,9,문제가 생각보다 단순해요.,The problem is simpler than I thought.
1078,반대,Opposite and being opposed to (objecting to),,1,저는 그 계획에 반대합니다.,I am opposed to that plan.
1079,법칙,"A law, a rule",,1,자연에는 변하지 않는 법칙이 있습니다.,There are unchanging laws in nature.
1080,빠지다,"To indulge in, be addicted to",,8,그는 게임에 빠져서 공부를 안 해요.,He is addicted to games and doesn't study.
1081,소금,Salt,,1,음식에 소금을 조금만 넣으세요.,Put just a little salt in the food.
