Number,Korean,Translation,Translation2,WordType,
1001,걱정,Worry,,1,
1002,결혼하다,Get married,,8,
1003,만약,If,,5,
1004,바르다,Be straight,be honest,9,
1005,세월,"The times, things",,1,
1006,숨,A breath,,1,
1007,행사,"An event, a function",,1,
1008,깨닫다,to realize sth,,8,
1009,누나,Older sister,,1,
1010,신,God,,1,
1011,왕,King,,1,
1012,점점,"More and more, by degrees",,5,
1013,질문,"A question, a query",,1,
1014,특별,"Be special, extraordinary",,1,
1015,판단,"A judgment, a conclusion",,1,
1016,해결하다,"To fix a problem, solve a question",,8,
1017,거리,Distance,,1,
1018,계속하다,To continue,,8,
1019,그치다,Stop or cease or halt,,8,
1020,근처,Nearby or the vicinity,,1,
1021,너무나,Extremely,,5,
1022,높이다,"Raise, elevate",,8,
1023,부정,"injustice,wrongfulness",,1,
1024,사정,Circumstances,,1,
1025,도대체,"In the world, on earth",,5,
1026,막,"Carelessly, at random",,5,
1027,부모님,Parents,,1,
1028,수출,Exporting sth,,1,
1029,계시다,(someone esteemed) to stay or be located,,8,
1030,그,That,,4,
1031,자르다,"cut,chop",,8,
1032,데리다,Be accompanied by,,8,
1033,마리,Number of animals,,1,
1034,무척,Extremely,,5,
1035,비용,Expense,,1,
1036,비행기,An airplane,,1,
1037,옳다,"To be right, correct",,9,
1038,원래,"originally,primarily",,5,
1039,처리,"handling,treatment",,1,
1040,최초,"In the very first, in the beginning",,1,
1041,꼴,Shape or form or appearance,,1,
1042,놀이,"Play, game",,1,
1043,뿌리,A root,,1,
1044,수입,Importing sth,,1,
1045,초,"Initial, in the beginning, first",,1,
1046,그리하여,And then or and so or and now,,5,
1047,낮,Daytime,,1,
1048,일찍,Early,,5,
1049,직원,Staff,,1,
1050,찍다,Stamp with a dojang,,8,
1051,가볍다,Light,,9,
1052,내부,The inside,,1,
1053,다소,"1) Large and small, 2) more or less",,5,
1054,상대,"counterpart,companion,rival",,1,
1055,오전,Morning,,1,
1056,피부,Skin,,1,
1057,가게,Store,,1,
1058,가득,Full,,5,
1059,그저,1) still or all the time 2) easily or with no effort,,5,
1060,도,Degrees (temperature),,1,
1061,벽,A wall,,1,
1062,장군,A general,,1,
1063,무역,Trade,,1,
1064,부담,"A burden,responsibility",,1,
1065,약속,A promise,,1,
1066,인사,Greetings,,1,
1067,줄,"Line, row, chord",,1,
