Number,Korean,Translation,Translation2,WordType,
1001,걱정하지 마세요. 모든 것이 잘 될 거예요.,Don't worry. Everything will be fine.
1002,언니가 내년 봄에 결혼해요.,My older sister is getting married next spring.
1003,만약 비가 오면 집에서 쉴 거예요.,If it rains I will rest at home.
1004,그 사람은 성격이 바르고 정직해요.,That person has an upright and honest personality.
1005,세월이 정말 빨리 흘러갑니다.,Time really flies by quickly.
1006,운동을 하고 나서 숨이 차요.,I'm out of breath after exercising.
1007,이번 주말에 학교에서 큰 행사가 있어요.,There is a big event at school this weekend.
1008,실수를 하고 나서야 중요한 것을 깨달았어요.,I only realized what was important after making a mistake.
1009,누나가 오늘 생일이에요.,It's my older sister's birthday today.
1010,그는 신의 존재를 믿고 있습니다.,He believes in the existence of God.
1011,조선 시대에는 왕이 나라를 다스렸습니다.,In the Joseon era the king ruled the country.
1012,날씨가 점점 따뜻해지고 있어요.,The weather is getting warmer and warmer.
1013,질문이 있으면 언제든지 물어보세요.,If you have a question please ask anytime.
1014,오늘은 특별한 날이에요.,Today is a special day.
1015,성급한 판단은 위험할 수 있습니다.,Hasty judgment can be dangerous.
1016,이 문제를 빨리 해결해야 합니다.,We need to solve this problem quickly.
1017,서울에서 부산까지 거리가 꽤 멀어요.,The distance from Seoul to Busan is quite far.
1018,포기하지 말고 계속하세요.,Don't give up and continue.
1019,비가 그치면 산책하러 가자.,Let's go for a walk when the rain stops.
1020,학교 근처에 좋은 식당이 있어요.,There is a good restaurant near the school.
1021,그 소식을 듣고 너무나 기뻤어요.,I was extremely happy to hear that news.
1022,교육의 질을 높이기 위해 노력하고 있습니다.,We are working to raise the quality of education.
1023,시험에서 부정 행위를 하면 안 됩니다.,You must not commit injustice during exams.
1024,개인적인 사정으로 참석하지 못했습니다.,I could not attend due to personal circumstances.
1025,도대체 무슨 일이 있었던 거예요?,What on earth happened?
1026,물건을 막 던지면 안 돼요.,You shouldn't throw things around carelessly.
1027,부모님께 자주 전화 드려요.,I call my parents often.
1028,한국의 반도체 수출이 증가하고 있습니다.,Korea's semiconductor exports are increasing.
1029,할머니는 지금 집에 계세요.,Grandmother is at home right now.
1030,그 사람을 어디서 만났어요?,Where did you meet that person?
1031,종이를 가위로 자르세요.,Cut the paper with scissors.
1032,아이를 데리고 공원에 갔어요.,I went to the park accompanied by the child.
1033,우리 집에 고양이 두 마리가 있어요.,We have two cats at our house.
1034,오늘 날씨가 무척 좋네요.,The weather is extremely nice today.
1035,여행 비용이 생각보다 많이 들었어요.,The travel expenses were more than I expected.
1036,비행기를 타고 제주도에 갈 거예요.,I'm going to Jeju Island by airplane.
1037,네 말이 옳다고 생각해요.,I think what you said is right.
1038,이 건물은 원래 학교였습니다.,This building was originally a school.
1039,서류 처리가 아직 끝나지 않았어요.,The document handling is not finished yet.
1040,이것은 한국 최초의 인공위성입니다.,This is Korea's first artificial satellite.
1041,네 꼴이 지금 뭐니?,What kind of state are you in right now?
1042,아이들이 놀이터에서 놀이를 하고 있어요.,The children are playing games at the playground.
1043,이 나무의 뿌리가 아주 깊어요.,The roots of this tree are very deep.
1044,석유 수입 가격이 올랐습니다.,The price of oil imports has risen.
1045,회의 초부터 분위기가 좋았어요.,The atmosphere was good from the beginning of the meeting.
1046,그리하여 두 나라는 평화 협정을 맺었습니다.,And so the two countries signed a peace agreement.
1047,낮에는 일하고 밤에는 공부해요.,I work during the daytime and study at night.
1048,내일 일찍 일어나야 해요.,I have to wake up early tomorrow.
1049,이 회사의 직원은 모두 친절합니다.,All the staff at this company are friendly.
1050,여권에 도장을 찍었습니다.,I stamped the passport with a seal.
1051,이 가방은 정말 가벼워요.,This bag is really light.
1052,건물 내부가 아주 넓어요.,The inside of the building is very spacious.
1053,오늘은 다소 추운 편이에요.,It is more or less cold today.
1054,경기에서 상대가 아주 강했습니다.,The rival was very strong in the match.
1055,오전에 회의가 있어요.,There is a meeting in the morning.
1056,겨울에는 피부가 건조해져요.,In winter the skin gets dry.
1057,집 앞에 작은 가게가 하나 있어요.,There is a small store in front of my house.
1058,방에 꽃향기가 가득해요.,The room is full of the scent of flowers.
1059,저는 그저 행복하게 살고 싶어요.,I just want to live happily.
1060,오늘 기온이 영하 5도까지 내려갔어요.,The temperature dropped to minus 5 degrees today.
1061,벽에 그림을 걸었어요.,I hung a painting on the wall.
1062,이순신 장군은 한국의 영웅입니다.,General Yi Sun-sin is a hero of Korea.
1063,한국과 미국 간의 무역이 활발합니다.,Trade between Korea and the United States is active.
1064,경제적 부담이 너무 커요.,The financial burden is too heavy.
1065,친구와 저녁 약속이 있어요.,I have a dinner appointment with a friend.
1066,한국에서는 인사할 때 고개를 숙입니다.,In Korea people bow their heads when greeting.
1067,사람들이 긴 줄을 서서 기다리고 있었어요.,People were waiting in a long line.
1068,그녀는 하늘을 쳐다보며 한숨을 쉬었어요.,She looked up at the sky and sighed.
1069,시험 준비를 충분히 했어요.,I prepared enough for the exam.
1070,규칙적인 운동은 신체 건강에 좋습니다.,Regular exercise is good for body health.
1071,태양 에너지를 이용하는 집이 늘고 있어요.,The number of houses using solar energy is increasing.
1072,그는 교육 위원으로 선출되었습니다.,He was elected as a member of the education committee.
1073,방을 깨끗하게 정리했어요.,I tidied up the room neatly.
1074,집안 일을 도와주세요.,Please help with the housework.
1075,이 영화의 배경은 1950년대 서울입니다.,The background of this movie is 1950s Seoul.
1076,살충제로 벌레를 죽였어요.,I killed the bugs with insecticide.
1077,문제가 생각보다 단순해요.,The problem is simpler than I thought.
1078,저는 그 계획에 반대합니다.,I am opposed to that plan.
1079,자연에는 변하지 않는 법칙이 있습니다.,There are unchanging laws in nature.
1080,그는 게임에 빠져서 공부를 안 해요.,He is addicted to games and doesn't study.
1081,음식에 소금을 조금만 넣으세요.,Put just a little salt in the food.
1082,환경 오염이 심각한 문제입니다.,Environmental pollution is a serious problem.
1083,자전거를 타고 출근해요.,I ride a bicycle to work.
1084,많은 학생들이 봉사 활동에 참여했습니다.,Many students participated in the volunteer activity.
1085,실패한 것은 모두 내 탓이에요.,The failure is all my fault.
1086,가을인데도 나무가 아직 푸르러요.,Even though it's autumn the trees are still green.
1087,걔가 오늘 학교에 안 왔어요.,That kid didn't come to school today.
1088,"그래, 네 말이 맞아.","Yes, you're right."
1089,하루 종일 컴퓨터를 해서 목이 아파요.,My neck hurts from using the computer all day.
1090,내일 중요한 발표가 있어요.,There is an important announcement tomorrow.
1091,범죄를 예방하기 위해 노력해야 합니다.,We must work to prevent crime.
1092,그 학생은 반에서 1위를 했어요.,That student ranked first in the class.
1093,바람이 나뭇가지를 흔들고 있어요.,The wind is shaking the tree branches.
1094,기초가 튼튼해야 건물이 안전합니다.,The building is safe when the foundation is solid.
1095,그의 주장에는 논리가 부족합니다.,His argument lacks logic.
1096,이가 아파서 치과에서 이를 뽑았어요.,My tooth hurt so I had it pulled at the dentist.
1097,담배를 피우면 건강에 나빠요.,Smoking is bad for your health.
1098,그녀는 패션 감각이 뛰어나요.,She has an excellent sense of fashion.
1099,미리 예약하지 않으면 자리가 없어요.,If you don't reserve beforehand there are no seats.
1100,시간이 부족해서 다 못 끝냈어요.,I couldn't finish everything because time was short.
1101,저희 회사는 서울에 있습니다.,Our company is located in Seoul.
1102,회의가 순조롭게 진행되고 있습니다.,The meeting is progressing smoothly.
1103,서울의 교통이 매우 복잡해요.,The traffic in Seoul is very congested.
